epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.1006,2.27709,4.86756,0.00538,0.00021,0.04,0.00198,0.00097,1.68263,4.43301,0.00552,0.00012221,0.00012221,0.00012221
2,33.0069,1.94594,4.56763,0.00446,0.0021,0.19356,0.08544,0.05914,1.67394,4.23538,0.0056,0.000255277,0.000255277,0.000255277
3,38.0669,1.88763,3.90287,0.00419,0.00638,0.28966,0.14862,0.12048,1.58253,4.03391,0.00534,0.00038808,0.00038808,0.00038808
4,41.918,1.98564,3.38263,0.00427,0.96704,0.08,0.26396,0.14878,1.59501,3.62749,0.00537,0.000520619,0.000520619,0.000520619
5,45.8486,1.98947,2.84654,0.00434,0.02736,0.80419,0.48818,0.2818,1.56956,3.19718,0.00545,0.000652894,0.000652894,0.000652894
6,50.9259,1.94529,2.6364,0.00424,0.85764,0.1971,0.54747,0.34121,1.52707,2.71677,0.00503,0.000784905,0.000784905,0.000784905
7,55.1653,1.92597,2.48227,0.00414,0.78204,0.33832,0.58289,0.36672,1.56701,2.41042,0.00518,0.000916653,0.000916653,0.000916653
8,58.9,1.8518,2.44705,0.00431,0.69301,0.51186,0.65607,0.39577,1.56163,2.12164,0.00501,0.00104814,0.00104814,0.00104814
9,63.9522,1.89471,2.34648,0.00412,0.57222,0.56223,0.63489,0.34861,1.77497,1.9431,0.00557,0.0011022,0.0011022,0.0011022
10,67.7584,1.84348,2.30075,0.00408,0.55664,0.64127,0.64759,0.38802,1.59079,1.71967,0.00498,0.0011011,0.0011011,0.0011011
11,71.5426,1.82651,2.05599,0.00368,0.60323,0.62084,0.65377,0.39564,1.47295,1.6479,0.0047,0.0011,0.0011,0.0011
12,76.4402,1.81489,2.08003,0.00391,0.52984,0.65697,0.65946,0.396,1.54678,1.63043,0.00504,0.0010989,0.0010989,0.0010989
13,80.4507,1.77479,1.99317,0.00366,0.61652,0.6614,0.68663,0.44025,1.43564,1.54148,0.00467,0.0010978,0.0010978,0.0010978
14,84.2672,1.80038,1.93514,0.00372,0.64869,0.60197,0.68569,0.43298,1.4769,1.45103,0.00481,0.0010967,0.0010967,0.0010967
15,89.3424,1.80986,1.88112,0.00373,0.61233,0.69233,0.71898,0.45441,1.49585,1.33306,0.00498,0.0010956,0.0010956,0.0010956
